Crystallize 1.4 log for model PM3_150728_2021_t20
Run began at: Fri Sep  4 14:12:51 2015

**** WARNING ****: max courant = 1.15152.  Instability possible.

Random seed used = -1441393971

Time = 250000.000000, delC = 6.94154e-09, NuclRate = 0
Uncompensated deficit of 1.22355e-10 g at index (126,42,6) at time 10.429 m.y.
Uncompensated deficit of 1.26542e-10 g at index (128,42,5) at time 10.440 m.y.
Uncompensated deficit of 2.46687e-11 g at index (55,112,119) at time 10.450 m.y.
Uncompensated deficit of 4.8485e-11 g at index (68,66,95) at time 10.466 m.y.
Uncompensated deficit of 7.42193e-11 g at index (118,131,133) at time 10.481 m.y.
Uncompensated deficit of 7.23771e-11 g at index (56,111,121) at time 10.491 m.y.
Uncompensated deficit of 3.64638e-11 g at index (68,67,96) at time 10.491 m.y.
Uncompensated deficit of 8.83632e-11 g at index (117,129,133) at time 10.495 m.y.
Uncompensated deficit of 1.34809e-10 g at index (36,111,124) at time 10.496 m.y.
Time = 10500000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 4.59025e-11 g at index (69,65,94) at time 10.500 m.y.
Uncompensated deficit of 1.70585e-10 g at index (35,113,122) at time 10.524 m.y.
Uncompensated deficit of 8.94156e-11 g at index (119,132,131) at time 10.531 m.y.
Uncompensated deficit of 1.51797e-11 g at index (33,112,121) at time 10.532 m.y.
Uncompensated deficit of 2.40514e-10 g at index (53,111,123) at time 10.532 m.y.
Uncompensated deficit of 6.56389e-11 g at index (66,66,96) at time 10.535 m.y.
Uncompensated deficit of 6.82602e-11 g at index (34,114,121) at time 10.535 m.y.
Uncompensated deficit of 2.59284e-10 g at index (58,111,117) at time 10.536 m.y.
Uncompensated deficit of 5.1853e-11 g at index (103,132,123) at time 10.541 m.y.
Uncompensated deficit of 5.53318e-13 g at index (51,97,59) at time 10.567 m.y.
Uncompensated deficit of 7.8269e-11 g at index (51,98,58) at time 10.571 m.y.
Uncompensated deficit of 5.93352e-11 g at index (104,131,122) at time 10.571 m.y.
Uncompensated deficit of 4.48964e-11 g at index (52,97,58) at time 10.578 m.y.
Uncompensated deficit of 1.16142e-10 g at index (51,91,60) at time 10.578 m.y.
Uncompensated deficit of 1.05644e-10 g at index (55,100,121) at time 10.578 m.y.
Uncompensated deficit of 7.67087e-11 g at index (61,98,119) at time 10.591 m.y.
Uncompensated deficit of 4.04421e-11 g at index (60,97,118) at time 10.592 m.y.
Uncompensated deficit of 1.29315e-10 g at index (51,96,60) at time 10.604 m.y.
Uncompensated deficit of 4.8621e-11 g at index (51,99,57) at time 10.615 m.y.
Uncompensated deficit of 9.81527e-11 g at index (62,97,119) at time 10.615 m.y.
Uncompensated deficit of 1.59363e-10 g at index (53,96,57) at time 10.621 m.y.
Uncompensated deficit of 1.35469e-10 g at index (53,100,126) at time 10.624 m.y.
Uncompensated deficit of 1.39451e-10 g at index (59,99,119) at time 10.624 m.y.
Uncompensated deficit of 3.64986e-11 g at index (61,99,120) at time 10.629 m.y.
Uncompensated deficit of 3.33176e-10 g at index (53,94,59) at time 10.632 m.y.
Uncompensated deficit of 2.64179e-10 g at index (52,94,60) at time 10.637 m.y.
Uncompensated deficit of 7.42371e-11 g at index (54,100,127) at time 10.639 m.y.
Uncompensated deficit of 9.18903e-11 g at index (60,96,117) at time 10.644 m.y.
Uncompensated deficit of 5.45441e-11 g at index (51,95,61) at time 10.646 m.y.
Uncompensated deficit of 1.04734e-10 g at index (57,99,118) at time 10.654 m.y.
Uncompensated deficit of 1.37142e-10 g at index (59,100,120) at time 10.657 m.y.
Uncompensated deficit of 3.14842e-11 g at index (123,24,16) at time 10.673 m.y.
Uncompensated deficit of 5.7706e-11 g at index (79,113,132) at time 10.701 m.y.
Uncompensated deficit of 6.7887e-11 g at index (123,23,14) at time 10.701 m.y.
Uncompensated deficit of 2.78125e-11 g at index (122,25,16) at time 10.712 m.y.
Uncompensated deficit of 2.12562e-11 g at index (80,113,133) at time 10.727 m.y.
Uncompensated deficit of 1.19054e-11 g at index (78,112,133) at time 10.728 m.y.
Uncompensated deficit of 5.48473e-11 g at index (125,22,15) at time 10.735 m.y.
Uncompensated deficit of 7.60462e-11 g at index (124,22,14) at time 10.736 m.y.
Time = 10750000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 3.53823e-11 g at index (77,112,131) at time 10.751 m.y.
Uncompensated deficit of 5.48288e-11 g at index (81,114,132) at time 10.752 m.y.
Uncompensated deficit of 1.14315e-10 g at index (79,112,134) at time 10.753 m.y.
Uncompensated deficit of 7.58273e-11 g at index (79,15,108) at time 10.765 m.y.
Uncompensated deficit of 9.56576e-11 g at index (13,27,70) at time 10.800 m.y.
Uncompensated deficit of 1.07185e-10 g at index (28,32,70) at time 10.807 m.y.
Uncompensated deficit of 5.97492e-11 g at index (76,111,132) at time 10.813 m.y.
Uncompensated deficit of 3.53342e-11 g at index (12,26,71) at time 10.818 m.y.
Uncompensated deficit of 4.92142e-11 g at index (20,126,92) at time 10.872 m.y.
Uncompensated deficit of 5.51322e-11 g at index (21,128,93) at time 10.878 m.y.
Uncompensated deficit of 9.91129e-12 g at index (22,127,95) at time 10.926 m.y.
Uncompensated deficit of 4.22338e-11 g at index (124,100,51) at time 10.933 m.y.
Uncompensated deficit of 1.53859e-11 g at index (123,101,53) at time 10.945 m.y.
Uncompensated deficit of 7.73161e-11 g at index (59,47,137) at time 10.953 m.y.
Uncompensated deficit of 7.1387e-11 g at index (24,32,56) at time 10.966 m.y.
Uncompensated deficit of 3.09685e-11 g at index (23,32,57) at time 10.970 m.y.
Uncompensated deficit of 3.86243e-11 g at index (24,33,55) at time 10.979 m.y.
Uncompensated deficit of 4.66187e-11 g at index (58,46,136) at time 10.990 m.y.
Uncompensated deficit of 1.43721e-11 g at index (24,31,57) at time 10.996 m.y.
Time = 11000000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 7.93093e-11 g at index (22,34,57) at time 11.006 m.y.
Uncompensated deficit of 5.92942e-11 g at index (22,33,58) at time 11.012 m.y.
Uncompensated deficit of 7.28541e-12 g at index (115,97,117) at time 11.026 m.y.
Uncompensated deficit of 8.20316e-11 g at index (115,94,118) at time 11.031 m.y.
Uncompensated deficit of 2.4599e-11 g at index (116,95,119) at time 11.033 m.y.
Uncompensated deficit of 5.11514e-11 g at index (18,27,72) at time 11.037 m.y.
Uncompensated deficit of 9.437e-11 g at index (114,97,116) at time 11.041 m.y.
Uncompensated deficit of 4.64939e-11 g at index (22,35,56) at time 11.041 m.y.
Uncompensated deficit of 4.48969e-11 g at index (116,98,118) at time 11.051 m.y.
Uncompensated deficit of 1.16427e-11 g at index (20,26,70) at time 11.057 m.y.
Uncompensated deficit of 6.14958e-11 g at index (47,116,80) at time 11.058 m.y.
Uncompensated deficit of 1.44135e-10 g at index (19,27,71) at time 11.063 m.y.
Uncompensated deficit of 1.89765e-11 g at index (117,96,120) at time 11.064 m.y.
Uncompensated deficit of 2.65915e-11 g at index (48,56,118) at time 11.065 m.y.
Uncompensated deficit of 5.49678e-11 g at index (47,57,119) at time 11.066 m.y.
Uncompensated deficit of 1.87413e-11 g at index (47,117,79) at time 11.069 m.y.
Uncompensated deficit of 1.20011e-12 g at index (47,55,120) at time 11.075 m.y.
Uncompensated deficit of 7.54584e-11 g at index (21,34,58) at time 11.076 m.y.
Uncompensated deficit of 5.41871e-11 g at index (21,25,70) at time 11.077 m.y.
Uncompensated deficit of 7.84866e-12 g at index (48,118,82) at time 11.090 m.y.
Uncompensated deficit of 2.42029e-11 g at index (47,58,118) at time 11.102 m.y.
Uncompensated deficit of 8.8354e-11 g at index (49,56,117) at time 11.103 m.y.
Uncompensated deficit of 6.76509e-11 g at index (46,57,120) at time 11.103 m.y.
Uncompensated deficit of 1.25577e-12 g at index (24,131,75) at time 11.104 m.y.
Uncompensated deficit of 4.12311e-12 g at index (24,132,76) at time 11.104 m.y.
Uncompensated deficit of 4.60544e-11 g at index (49,54,118) at time 11.111 m.y.
Uncompensated deficit of 1.6976e-11 g at index (46,55,121) at time 11.111 m.y.
Uncompensated deficit of 3.1299e-11 g at index (23,131,76) at time 11.112 m.y.
Uncompensated deficit of 2.46273e-11 g at index (25,132,75) at time 11.120 m.y.
Uncompensated deficit of 4.61644e-11 g at index (46,114,79) at time 11.127 m.y.
Uncompensated deficit of 2.40344e-11 g at index (23,130,75) at time 11.132 m.y.
Uncompensated deficit of 1.70157e-11 g at index (23,132,77) at time 11.133 m.y.
Uncompensated deficit of 6.31671e-11 g at index (25,131,74) at time 11.136 m.y.
Uncompensated deficit of 6.25147e-11 g at index (24,130,74) at time 11.141 m.y.
Uncompensated deficit of 2.38234e-11 g at index (25,133,76) at time 11.141 m.y.
Uncompensated deficit of 5.58465e-11 g at index (24,133,77) at time 11.146 m.y.
Uncompensated deficit of 6.63311e-11 g at index (106,19,98) at time 11.149 m.y.
Uncompensated deficit of 4.69914e-11 g at index (24,106,132) at time 11.151 m.y.
Uncompensated deficit of 4.32293e-11 g at index (106,64,43) at time 11.154 m.y.
Uncompensated deficit of 6.04084e-11 g at index (106,18,96) at time 11.158 m.y.
Uncompensated deficit of 1.44491e-11 g at index (26,105,133) at time 11.161 m.y.
Uncompensated deficit of 9.20281e-12 g at index (22,131,77) at time 11.161 m.y.
Uncompensated deficit of 2.87564e-11 g at index (22,130,76) at time 11.162 m.y.
Uncompensated deficit of 2.36979e-11 g at index (107,18,97) at time 11.163 m.y.
Uncompensated deficit of 5.01578e-11 g at index (26,132,74) at time 11.171 m.y.
Uncompensated deficit of 1.2411e-10 g at index (105,20,99) at time 11.173 m.y.
Uncompensated deficit of 6.05514e-11 g at index (26,133,75) at time 11.176 m.y.
Uncompensated deficit of 7.43466e-12 g at index (45,55,122) at time 11.177 m.y.
Uncompensated deficit of 9.67968e-11 g at index (107,19,99) at time 11.179 m.y.
Uncompensated deficit of 5.29757e-11 g at index (50,55,116) at time 11.183 m.y.
Uncompensated deficit of 2.68025e-12 g at index (23,129,74) at time 11.184 m.y.
Uncompensated deficit of 7.38395e-11 g at index (106,20,100) at time 11.191 m.y.
Uncompensated deficit of 8.9135e-11 g at index (38,96,131) at time 11.192 m.y.
Uncompensated deficit of 7.4551e-11 g at index (22,107,132) at time 11.194 m.y.
Uncompensated deficit of 4.2128e-11 g at index (22,129,75) at time 11.197 m.y.
Uncompensated deficit of 8.0459e-11 g at index (23,107,134) at time 11.201 m.y.
Uncompensated deficit of 2.88781e-11 g at index (28,104,133) at time 11.203 m.y.
Uncompensated deficit of 3.63853e-11 g at index (39,95,130) at time 11.205 m.y.
Uncompensated deficit of 2.90308e-11 g at index (37,97,132) at time 11.207 m.y.
Uncompensated deficit of 2.7551e-11 g at index (39,96,133) at time 11.207 m.y.
Uncompensated deficit of 4.22057e-12 g at index (37,96,129) at time 11.216 m.y.
Uncompensated deficit of 1.4496e-10 g at index (104,21,100) at time 11.218 m.y.
Uncompensated deficit of 1.14307e-10 g at index (36,97,130) at time 11.218 m.y.
Uncompensated deficit of 8.35289e-11 g at index (107,17,95) at time 11.222 m.y.
Uncompensated deficit of 1.40116e-10 g at index (106,21,101) at time 11.222 m.y.
Uncompensated deficit of 8.65435e-11 g at index (108,17,96) at time 11.225 m.y.
Uncompensated deficit of 2.55949e-11 g at index (21,130,77) at time 11.229 m.y.
Uncompensated deficit of 1.35651e-10 g at index (106,22,102) at time 11.232 m.y.
Uncompensated deficit of 1.08183e-10 g at index (36,98,133) at time 11.236 m.y.
Uncompensated deficit of 1.19279e-10 g at index (35,98,131) at time 11.237 m.y.
Uncompensated deficit of 1.682e-10 g at index (108,20,101) at time 11.239 m.y.
Uncompensated deficit of 1.19462e-10 g at index (41,94,130) at time 11.241 m.y.
Uncompensated deficit of 8.38755e-11 g at index (27,133,74) at time 11.244 m.y.
Uncompensated deficit of 8.1968e-11 g at index (106,17,94) at time 11.245 m.y.
Uncompensated deficit of 4.5505e-12 g at index (21,129,76) at time 11.246 m.y.
Time = 11250000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 1.93436e-11 g at index (34,99,131) at time 11.265 m.y.
Uncompensated deficit of 7.39591e-11 g at index (35,99,133) at time 11.267 m.y.
Uncompensated deficit of 2.43409e-10 g at index (73,108,123) at time 11.273 m.y.
Uncompensated deficit of 7.28277e-11 g at index (21,108,134) at time 11.278 m.y.
Uncompensated deficit of 7.71139e-11 g at index (74,110,122) at time 11.280 m.y.
Uncompensated deficit of 5.10097e-11 g at index (33,100,132) at time 11.289 m.y.
Uncompensated deficit of 2.31242e-10 g at index (32,101,132) at time 11.301 m.y.
Uncompensated deficit of 2.77014e-10 g at index (44,92,130) at time 11.315 m.y.
Uncompensated deficit of 5.67279e-11 g at index (107,22,16) at time 11.324 m.y.
Uncompensated deficit of 1.89947e-11 g at index (84,85,77) at time 11.331 m.y.
Uncompensated deficit of 5.25569e-11 g at index (85,86,77) at time 11.336 m.y.
Uncompensated deficit of 5.75013e-11 g at index (91,70,44) at time 11.363 m.y.
Uncompensated deficit of 5.15777e-11 g at index (129,50,11) at time 11.365 m.y.
Uncompensated deficit of 3.29786e-11 g at index (83,84,78) at time 11.369 m.y.
Uncompensated deficit of 1.11071e-10 g at index (52,52,115) at time 11.373 m.y.
Uncompensated deficit of 2.22288e-10 g at index (52,54,114) at time 11.377 m.y.
Uncompensated deficit of 1.84557e-11 g at index (129,52,10) at time 11.381 m.y.
Uncompensated deficit of 1.80831e-10 g at index (114,88,123) at time 11.389 m.y.
Uncompensated deficit of 2.48314e-11 g at index (127,49,12) at time 11.389 m.y.
Uncompensated deficit of 1.17087e-10 g at index (21,30,63) at time 11.391 m.y.
Uncompensated deficit of 1.36879e-10 g at index (113,88,121) at time 11.402 m.y.
Uncompensated deficit of 1.38656e-10 g at index (22,28,63) at time 11.402 m.y.
Uncompensated deficit of 3.83286e-11 g at index (93,28,130) at time 11.446 m.y.
Uncompensated deficit of 5.28989e-11 g at index (93,29,129) at time 11.460 m.y.
Uncompensated deficit of 5.418e-11 g at index (94,29,130) at time 11.460 m.y.
Uncompensated deficit of 1.25083e-10 g at index (94,30,129) at time 11.462 m.y.
Uncompensated deficit of 7.92313e-11 g at index (92,27,129) at time 11.465 m.y.
Uncompensated deficit of 8.51489e-11 g at index (95,31,130) at time 11.466 m.y.
Uncompensated deficit of 1.18886e-10 g at index (93,26,131) at time 11.466 m.y.
Uncompensated deficit of 1.45275e-10 g at index (94,28,131) at time 11.467 m.y.
Uncompensated deficit of 8.66291e-11 g at index (70,91,109) at time 11.472 m.y.
Uncompensated deficit of 1.78979e-11 g at index (94,31,128) at time 11.475 m.y.
Uncompensated deficit of 1.41388e-11 g at index (92,25,130) at time 11.475 m.y.
Uncompensated deficit of 3.85459e-11 g at index (95,32,128) at time 11.477 m.y.
Uncompensated deficit of 8.44396e-11 g at index (92,28,128) at time 11.483 m.y.
Uncompensated deficit of 5.50978e-11 g at index (95,30,131) at time 11.484 m.y.
Uncompensated deficit of 7.75524e-11 g at index (94,27,132) at time 11.486 m.y.
Uncompensated deficit of 8.64026e-11 g at index (96,32,130) at time 11.487 m.y.
Uncompensated deficit of 4.59946e-11 g at index (18,34,9) at time 11.487 m.y.
Uncompensated deficit of 1.24153e-11 g at index (20,34,8) at time 11.491 m.y.
Uncompensated deficit of 6.04923e-11 g at index (96,33,128) at time 11.497 m.y.
Time = 11500000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 8.8895e-11 g at index (60,47,121) at time 11.501 m.y.
Uncompensated deficit of 9.13418e-11 g at index (19,35,7) at time 11.501 m.y.
Uncompensated deficit of 2.64036e-12 g at index (95,29,132) at time 11.505 m.y.
Uncompensated deficit of 1.02247e-10 g at index (91,26,128) at time 11.506 m.y.
Uncompensated deficit of 4.576e-11 g at index (17,35,8) at time 11.510 m.y.
Uncompensated deficit of 9.99691e-11 g at index (92,29,127) at time 11.512 m.y.
Uncompensated deficit of 1.38352e-11 g at index (81,79,70) at time 11.513 m.y.
Uncompensated deficit of 1.00435e-10 g at index (26,68,14) at time 11.518 m.y.
Uncompensated deficit of 9.41859e-11 g at index (8,56,17) at time 11.525 m.y.
Uncompensated deficit of 6.8483e-11 g at index (97,33,130) at time 11.526 m.y.
Uncompensated deficit of 9.53175e-11 g at index (25,69,15) at time 11.526 m.y.
Uncompensated deficit of 6.48365e-11 g at index (11,53,17) at time 11.527 m.y.
Uncompensated deficit of 7.36338e-11 g at index (9,57,18) at time 11.529 m.y.
Uncompensated deficit of 2.02476e-11 g at index (10,55,18) at time 11.529 m.y.
Uncompensated deficit of 4.81608e-11 g at index (9,55,17) at time 11.529 m.y.
Uncompensated deficit of 6.33486e-11 g at index (11,54,18) at time 11.535 m.y.
Uncompensated deficit of 4.17157e-11 g at index (12,54,19) at time 11.539 m.y.
Uncompensated deficit of 5.00153e-11 g at index (21,33,9) at time 11.540 m.y.
Uncompensated deficit of 1.12989e-10 g at index (10,54,17) at time 11.541 m.y.
Uncompensated deficit of 4.23509e-11 g at index (25,70,13) at time 11.543 m.y.
Uncompensated deficit of 4.34841e-11 g at index (7,57,17) at time 11.544 m.y.
Uncompensated deficit of 4.60559e-11 g at index (8,55,16) at time 11.552 m.y.
Uncompensated deficit of 9.57759e-11 g at index (7,56,16) at time 11.556 m.y.
Uncompensated deficit of 6.17834e-11 g at index (10,57,19) at time 11.556 m.y.
Uncompensated deficit of 1.05241e-10 g at index (27,67,13) at time 11.557 m.y.
Uncompensated deficit of 5.53751e-11 g at index (91,23,130) at time 11.560 m.y.
Uncompensated deficit of 1.16478e-10 g at index (9,54,16) at time 11.561 m.y.
Uncompensated deficit of 3.64739e-11 g at index (60,45,125) at time 11.563 m.y.
Uncompensated deficit of 5.28199e-11 g at index (18,36,6) at time 11.567 m.y.
Uncompensated deficit of 1.8403e-11 g at index (90,26,127) at time 11.569 m.y.
Uncompensated deficit of 1.10873e-10 g at index (9,58,19) at time 11.572 m.y.
Uncompensated deficit of 6.36076e-11 g at index (6,57,16) at time 11.581 m.y.
Uncompensated deficit of 8.22542e-11 g at index (6,58,17) at time 11.587 m.y.
Uncompensated deficit of 1.05731e-11 g at index (8,59,19) at time 11.609 m.y.
Uncompensated deficit of 8.74434e-11 g at index (33,27,76) at time 11.620 m.y.
Uncompensated deficit of 4.82162e-11 g at index (71,78,98) at time 11.622 m.y.
Uncompensated deficit of 7.17523e-11 g at index (72,79,97) at time 11.629 m.y.
Uncompensated deficit of 1.03489e-10 g at index (73,75,100) at time 11.637 m.y.
Uncompensated deficit of 2.79092e-11 g at index (73,77,98) at time 11.640 m.y.
Uncompensated deficit of 7.33441e-11 g at index (73,78,97) at time 11.643 m.y.
Uncompensated deficit of 1.5597e-11 g at index (78,126,48) at time 11.645 m.y.
Uncompensated deficit of 7.41934e-11 g at index (79,125,48) at time 11.645 m.y.
Uncompensated deficit of 1.27251e-10 g at index (71,77,99) at time 11.645 m.y.
Uncompensated deficit of 1.50249e-10 g at index (73,76,99) at time 11.648 m.y.
Uncompensated deficit of 3.96718e-11 g at index (32,25,77) at time 11.648 m.y.
Uncompensated deficit of 9.51205e-12 g at index (71,80,97) at time 11.651 m.y.
Uncompensated deficit of 6.33293e-14 g at index (79,126,47) at time 11.655 m.y.
Uncompensated deficit of 5.83831e-11 g at index (29,65,13) at time 11.656 m.y.
Uncompensated deficit of 3.18549e-11 g at index (44,127,131) at time 11.660 m.y.
Uncompensated deficit of 5.70277e-11 g at index (70,78,99) at time 11.662 m.y.
Uncompensated deficit of 1.56104e-12 g at index (46,130,131) at time 11.663 m.y.
Uncompensated deficit of 1.06804e-10 g at index (46,131,129) at time 11.666 m.y.
Uncompensated deficit of 3.72874e-11 g at index (89,39,74) at time 11.667 m.y.
Uncompensated deficit of 1.24634e-10 g at index (45,129,130) at time 11.669 m.y.
Uncompensated deficit of 5.18747e-11 g at index (47,132,130) at time 11.669 m.y.
Uncompensated deficit of 1.54346e-10 g at index (45,128,133) at time 11.675 m.y.
Uncompensated deficit of 8.46442e-11 g at index (34,29,75) at time 11.675 m.y.
Uncompensated deficit of 2.34081e-11 g at index (34,27,74) at time 11.675 m.y.
Uncompensated deficit of 2.67013e-11 g at index (47,131,132) at time 11.676 m.y.
Uncompensated deficit of 5.54145e-11 g at index (90,39,73) at time 11.686 m.y.
Uncompensated deficit of 5.55365e-11 g at index (88,39,75) at time 11.686 m.y.
Uncompensated deficit of 8.31503e-11 g at index (78,127,47) at time 11.688 m.y.
Uncompensated deficit of 9.94748e-11 g at index (80,125,47) at time 11.689 m.y.
Uncompensated deficit of 8.08561e-11 g at index (30,64,15) at time 11.690 m.y.
Uncompensated deficit of 2.83201e-11 g at index (89,37,73) at time 11.701 m.y.
Uncompensated deficit of 1.02995e-12 g at index (48,133,132) at time 11.702 m.y.
Uncompensated deficit of 3.11104e-11 g at index (69,79,99) at time 11.703 m.y.
Uncompensated deficit of 7.92756e-11 g at index (88,37,74) at time 11.703 m.y.
Uncompensated deficit of 3.89516e-11 g at index (89,41,75) at time 11.714 m.y.
Uncompensated deficit of 8.33149e-11 g at index (90,41,74) at time 11.717 m.y.
Uncompensated deficit of 6.39046e-11 g at index (21,46,66) at time 11.732 m.y.
Uncompensated deficit of 2.16191e-11 g at index (35,28,73) at time 11.732 m.y.
Uncompensated deficit of 3.30225e-11 g at index (90,37,72) at time 11.735 m.y.
Uncompensated deficit of 1.01035e-11 g at index (87,39,76) at time 11.740 m.y.
Uncompensated deficit of 6.98281e-11 g at index (91,39,72) at time 11.740 m.y.
Uncompensated deficit of 1.24859e-10 g at index (22,47,67) at time 11.741 m.y.
Uncompensated deficit of 1.10562e-10 g at index (88,134,47) at time 11.741 m.y.
