Crystallize 1.4 log for model PM3_150728_2021
Run began at: Wed Jul 29 07:32:34 2015

**** WARNING ****: max courant = 1.15152.  Instability possible.

Random seed used = -1438173154

Time = 250000.000000, delC = 6.94154e-09, NuclRate = 0
Uncompensated deficit of 2.5864e-09 g at index (112,63,118) at time 10.140 m.y.
Uncompensated deficit of 4.90119e-09 g at index (112,64,121) at time 10.146 m.y.
Uncompensated deficit of 1.64427e-09 g at index (114,61,119) at time 10.166 m.y.
Uncompensated deficit of 8.88892e-09 g at index (65,78,37) at time 10.178 m.y.
Uncompensated deficit of 6.28578e-09 g at index (84,91,62) at time 10.184 m.y.
Uncompensated deficit of 3.9064e-09 g at index (111,65,120) at time 10.184 m.y.
Uncompensated deficit of 7.19534e-09 g at index (84,90,61) at time 10.186 m.y.
Uncompensated deficit of 7.11404e-09 g at index (64,77,37) at time 10.208 m.y.
Uncompensated deficit of 4.83812e-10 g at index (82,89,63) at time 10.208 m.y.
Uncompensated deficit of 9.16999e-09 g at index (85,91,61) at time 10.212 m.y.
Uncompensated deficit of 6.22769e-09 g at index (84,92,63) at time 10.218 m.y.
Uncompensated deficit of 4.18672e-09 g at index (84,89,60) at time 10.224 m.y.
Uncompensated deficit of 4.32345e-09 g at index (85,92,62) at time 10.224 m.y.
Uncompensated deficit of 2.17782e-09 g at index (82,88,62) at time 10.228 m.y.
Uncompensated deficit of 7.09262e-09 g at index (82,90,64) at time 10.228 m.y.
Time = 10250000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 4.83066e-09 g at index (86,92,61) at time 10.252 m.y.
Uncompensated deficit of 6.01942e-09 g at index (86,93,62) at time 10.254 m.y.
Uncompensated deficit of 9.3746e-09 g at index (85,93,63) at time 10.260 m.y.
Uncompensated deficit of 3.14668e-10 g at index (109,96,75) at time 10.260 m.y.
Uncompensated deficit of 4.72762e-09 g at index (15,129,127) at time 10.262 m.y.
Uncompensated deficit of 6.14053e-09 g at index (110,66,119) at time 10.266 m.y.
Uncompensated deficit of 1.7884e-09 g at index (59,86,15) at time 10.268 m.y.
Uncompensated deficit of 7.5564e-09 g at index (13,130,127) at time 10.272 m.y.
Uncompensated deficit of 4.12623e-09 g at index (30,102,44) at time 10.274 m.y.
Uncompensated deficit of 6.19596e-10 g at index (81,88,63) at time 10.274 m.y.
Uncompensated deficit of 3.7607e-09 g at index (81,89,64) at time 10.274 m.y.
Uncompensated deficit of 7.6902e-09 g at index (108,96,76) at time 10.274 m.y.
Uncompensated deficit of 8.16818e-09 g at index (57,87,16) at time 10.276 m.y.
Uncompensated deficit of 8.55374e-09 g at index (107,97,75) at time 10.276 m.y.
Uncompensated deficit of 6.24642e-09 g at index (30,103,43) at time 10.288 m.y.
Uncompensated deficit of 3.99755e-09 g at index (28,103,44) at time 10.292 m.y.
Uncompensated deficit of 7.29534e-09 g at index (28,102,45) at time 10.304 m.y.
Uncompensated deficit of 2.19925e-09 g at index (31,102,43) at time 10.312 m.y.
Uncompensated deficit of 4.42911e-09 g at index (56,86,17) at time 10.320 m.y.
Uncompensated deficit of 7.87117e-09 g at index (31,101,44) at time 10.322 m.y.
Uncompensated deficit of 4.64864e-09 g at index (73,104,54) at time 10.334 m.y.
Uncompensated deficit of 4.5081e-09 g at index (30,104,42) at time 10.336 m.y.
Uncompensated deficit of 2.91221e-09 g at index (28,101,46) at time 10.348 m.y.
Uncompensated deficit of 5.33659e-09 g at index (34,25,79) at time 10.348 m.y.
Uncompensated deficit of 2.81537e-09 g at index (33,25,80) at time 10.350 m.y.
Uncompensated deficit of 5.06259e-09 g at index (34,26,80) at time 10.356 m.y.
Uncompensated deficit of 3.23822e-11 g at index (35,26,79) at time 10.362 m.y.
Uncompensated deficit of 4.57589e-09 g at index (33,24,79) at time 10.364 m.y.
Uncompensated deficit of 3.74059e-09 g at index (33,26,81) at time 10.364 m.y.
Uncompensated deficit of 5.64079e-09 g at index (31,100,45) at time 10.366 m.y.
Uncompensated deficit of 5.76189e-09 g at index (35,25,78) at time 10.366 m.y.
Uncompensated deficit of 2.46373e-10 g at index (34,24,78) at time 10.370 m.y.
Uncompensated deficit of 4.89484e-09 g at index (32,24,80) at time 10.374 m.y.
Uncompensated deficit of 3.30589e-09 g at index (35,27,80) at time 10.388 m.y.
Uncompensated deficit of 3.71836e-09 g at index (34,27,81) at time 10.388 m.y.
Uncompensated deficit of 8.6226e-09 g at index (36,26,78) at time 10.390 m.y.
Uncompensated deficit of 1.31275e-09 g at index (31,26,82) at time 10.396 m.y.
Uncompensated deficit of 2.80125e-10 g at index (32,27,82) at time 10.396 m.y.
Uncompensated deficit of 8.55246e-09 g at index (35,24,77) at time 10.398 m.y.
Uncompensated deficit of 8.00585e-09 g at index (36,25,77) at time 10.404 m.y.
Uncompensated deficit of 1.23771e-09 g at index (32,23,79) at time 10.404 m.y.
Uncompensated deficit of 3.33847e-09 g at index (36,27,79) at time 10.404 m.y.
Uncompensated deficit of 3.94955e-09 g at index (39,124,33) at time 10.410 m.y.
Uncompensated deficit of 8.30354e-09 g at index (30,105,41) at time 10.418 m.y.
Uncompensated deficit of 2.79874e-09 g at index (28,100,47) at time 10.428 m.y.
Uncompensated deficit of 6.21102e-09 g at index (102,129,67) at time 10.432 m.y.
Uncompensated deficit of 3.22787e-09 g at index (37,27,78) at time 10.440 m.y.
Uncompensated deficit of 4.98103e-09 g at index (47,127,32) at time 10.442 m.y.
Uncompensated deficit of 4.34833e-09 g at index (56,103,123) at time 10.442 m.y.
Uncompensated deficit of 9.09163e-09 g at index (30,27,83) at time 10.448 m.y.
Uncompensated deficit of 1.52511e-09 g at index (101,128,68) at time 10.450 m.y.
Uncompensated deficit of 4.62638e-09 g at index (103,130,66) at time 10.458 m.y.
Uncompensated deficit of 1.52562e-09 g at index (103,131,67) at time 10.464 m.y.
Uncompensated deficit of 4.78682e-09 g at index (57,102,124) at time 10.470 m.y.
Uncompensated deficit of 3.54583e-09 g at index (10,83,95) at time 10.486 m.y.
Uncompensated deficit of 5.24459e-09 g at index (11,82,94) at time 10.490 m.y.
Time = 10500000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 1.19684e-09 g at index (38,25,112) at time 10.516 m.y.
Uncompensated deficit of 8.54862e-10 g at index (100,127,69) at time 10.518 m.y.
Uncompensated deficit of 3.75653e-09 g at index (9,84,95) at time 10.518 m.y.
Uncompensated deficit of 2.32642e-09 g at index (104,132,66) at time 10.536 m.y.
Uncompensated deficit of 5.84546e-09 g at index (135,106,15) at time 10.538 m.y.
Uncompensated deficit of 5.94581e-09 g at index (12,81,94) at time 10.542 m.y.
Uncompensated deficit of 3.7959e-09 g at index (70,136,66) at time 10.544 m.y.
Uncompensated deficit of 6.48145e-09 g at index (9,83,97) at time 10.548 m.y.
Uncompensated deficit of 5.37154e-10 g at index (9,85,94) at time 10.556 m.y.
Uncompensated deficit of 6.50253e-09 g at index (71,135,66) at time 10.562 m.y.
Uncompensated deficit of 7.20972e-09 g at index (69,137,66) at time 10.562 m.y.
Uncompensated deficit of 6.10444e-09 g at index (71,136,65) at time 10.568 m.y.
Uncompensated deficit of 6.51431e-09 g at index (70,137,65) at time 10.568 m.y.
Uncompensated deficit of 1.10268e-09 g at index (24,7,99) at time 10.572 m.y.
Uncompensated deficit of 6.33654e-09 g at index (38,26,69) at time 10.610 m.y.
Uncompensated deficit of 3.57263e-09 g at index (39,28,69) at time 10.630 m.y.
Uncompensated deficit of 3.19446e-09 g at index (39,27,71) at time 10.644 m.y.
Uncompensated deficit of 1.11614e-08 g at index (40,23,117) at time 10.658 m.y.
Uncompensated deficit of 6.82356e-09 g at index (38,121,19) at time 10.664 m.y.
Uncompensated deficit of 8.13301e-09 g at index (39,25,73) at time 10.684 m.y.
Uncompensated deficit of 1.48677e-09 g at index (39,120,18) at time 10.692 m.y.
Uncompensated deficit of 6.35894e-09 g at index (108,44,60) at time 10.712 m.y.
Uncompensated deficit of 8.69847e-10 g at index (54,13,48) at time 10.738 m.y.
Uncompensated deficit of 4.40847e-09 g at index (54,12,49) at time 10.738 m.y.
Time = 10750000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 3.50267e-09 g at index (51,13,49) at time 10.750 m.y.
Uncompensated deficit of 7.2613e-09 g at index (54,11,50) at time 10.768 m.y.
Uncompensated deficit of 4.10629e-09 g at index (54,14,47) at time 10.770 m.y.
Uncompensated deficit of 4.47936e-09 g at index (17,125,82) at time 10.772 m.y.
Uncompensated deficit of 1.23534e-09 g at index (114,15,26) at time 10.774 m.y.
Uncompensated deficit of 7.87601e-10 g at index (20,40,63) at time 10.796 m.y.
Uncompensated deficit of 6.56905e-09 g at index (117,91,2) at time 10.800 m.y.
Uncompensated deficit of 1.21104e-09 g at index (20,41,64) at time 10.802 m.y.
Uncompensated deficit of 4.66018e-09 g at index (45,137,89) at time 10.806 m.y.
Uncompensated deficit of 6.03389e-09 g at index (44,135,90) at time 10.806 m.y.
Uncompensated deficit of 5.51193e-10 g at index (45,138,90) at time 10.806 m.y.
Uncompensated deficit of 8.25877e-09 g at index (56,12,48) at time 10.810 m.y.
Uncompensated deficit of 5.76892e-09 g at index (16,126,81) at time 10.816 m.y.
Uncompensated deficit of 9.9597e-09 g at index (41,20,113) at time 10.816 m.y.
Uncompensated deficit of 2.24129e-09 g at index (22,41,63) at time 10.818 m.y.
Uncompensated deficit of 5.58303e-09 g at index (40,19,113) at time 10.818 m.y.
Uncompensated deficit of 4.98409e-10 g at index (39,17,113) at time 10.820 m.y.
Uncompensated deficit of 8.32499e-09 g at index (119,90,2) at time 10.824 m.y.
Uncompensated deficit of 5.4014e-09 g at index (21,39,62) at time 10.832 m.y.
Uncompensated deficit of 5.40289e-10 g at index (19,40,64) at time 10.832 m.y.
Uncompensated deficit of 3.33001e-09 g at index (22,40,62) at time 10.834 m.y.
Uncompensated deficit of 8.71731e-09 g at index (17,126,80) at time 10.838 m.y.
Uncompensated deficit of 8.85582e-09 g at index (115,92,2) at time 10.840 m.y.
Uncompensated deficit of 3.12308e-09 g at index (22,42,64) at time 10.840 m.y.
Uncompensated deficit of 5.59657e-09 g at index (19,39,63) at time 10.846 m.y.
Uncompensated deficit of 3.79289e-10 g at index (108,89,81) at time 10.850 m.y.
Uncompensated deficit of 4.89192e-09 g at index (19,41,65) at time 10.856 m.y.
Uncompensated deficit of 4.83385e-09 g at index (121,15,26) at time 10.860 m.y.
Uncompensated deficit of 4.28636e-09 g at index (121,16,27) at time 10.864 m.y.
Uncompensated deficit of 3.10685e-09 g at index (48,113,46) at time 10.864 m.y.
Uncompensated deficit of 4.24649e-09 g at index (22,39,61) at time 10.882 m.y.
Uncompensated deficit of 5.56003e-09 g at index (63,134,104) at time 10.884 m.y.
Uncompensated deficit of 7.7947e-10 g at index (22,43,65) at time 10.892 m.y.
Uncompensated deficit of 5.38471e-11 g at index (112,92,83) at time 10.896 m.y.
Uncompensated deficit of 2.85314e-09 g at index (21,38,61) at time 10.898 m.y.
Uncompensated deficit of 2.70366e-10 g at index (122,14,26) at time 10.900 m.y.
Uncompensated deficit of 1.29562e-09 g at index (110,54,21) at time 10.908 m.y.
Uncompensated deficit of 1.96183e-09 g at index (19,42,66) at time 10.910 m.y.
Uncompensated deficit of 5.80078e-09 g at index (81,90,76) at time 10.934 m.y.
Uncompensated deficit of 5.3223e-09 g at index (124,14,27) at time 10.940 m.y.
Uncompensated deficit of 9.58372e-10 g at index (124,15,28) at time 10.940 m.y.
Uncompensated deficit of 3.52201e-09 g at index (122,17,29) at time 10.948 m.y.
Uncompensated deficit of 3.14852e-09 g at index (82,90,77) at time 10.956 m.y.
Uncompensated deficit of 1.96089e-09 g at index (107,53,19) at time 10.958 m.y.
Uncompensated deficit of 5.18925e-09 g at index (22,44,66) at time 10.976 m.y.
Uncompensated deficit of 9.97014e-09 g at index (75,118,75) at time 10.978 m.y.
Uncompensated deficit of 2.84779e-09 g at index (73,33,74) at time 10.982 m.y.
Uncompensated deficit of 6.5014e-09 g at index (125,14,28) at time 10.988 m.y.
Uncompensated deficit of 1.38122e-09 g at index (80,88,76) at time 10.988 m.y.
Time = 11000000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 8.96147e-09 g at index (125,13,27) at time 11.002 m.y.
Uncompensated deficit of 8.56233e-09 g at index (125,15,29) at time 11.004 m.y.
Uncompensated deficit of 8.79287e-10 g at index (74,34,73) at time 11.004 m.y.
Uncompensated deficit of 8.91952e-10 g at index (72,34,75) at time 11.006 m.y.
Uncompensated deficit of 5.60187e-09 g at index (34,105,32) at time 11.010 m.y.
Uncompensated deficit of 8.60198e-09 g at index (74,32,74) at time 11.014 m.y.
Uncompensated deficit of 4.75048e-09 g at index (73,32,75) at time 11.018 m.y.
Uncompensated deficit of 5.72513e-09 g at index (83,91,78) at time 11.020 m.y.
Uncompensated deficit of 3.24348e-09 g at index (35,104,32) at time 11.024 m.y.
Uncompensated deficit of 2.48648e-09 g at index (33,106,32) at time 11.028 m.y.
Uncompensated deficit of 5.27896e-09 g at index (34,107,36) at time 11.042 m.y.
Uncompensated deficit of 5.41074e-09 g at index (25,55,42) at time 11.042 m.y.
Uncompensated deficit of 4.72551e-09 g at index (35,106,36) at time 11.044 m.y.
Uncompensated deficit of 4.54164e-09 g at index (24,58,42) at time 11.044 m.y.
Uncompensated deficit of 1.33844e-09 g at index (74,31,75) at time 11.044 m.y.
Uncompensated deficit of 7.47253e-09 g at index (30,17,117) at time 11.050 m.y.
Uncompensated deficit of 5.34753e-09 g at index (34,106,35) at time 11.058 m.y.
Uncompensated deficit of 1.01475e-08 g at index (35,105,35) at time 11.064 m.y.
Uncompensated deficit of 6.33102e-09 g at index (22,57,40) at time 11.068 m.y.
Uncompensated deficit of 5.04333e-09 g at index (23,54,40) at time 11.072 m.y.
Uncompensated deficit of 5.2794e-09 g at index (32,107,32) at time 11.076 m.y.
Uncompensated deficit of 5.95521e-09 g at index (26,56,43) at time 11.078 m.y.
Uncompensated deficit of 9.29108e-09 g at index (15,131,79) at time 11.078 m.y.
Uncompensated deficit of 4.73484e-09 g at index (38,122,42) at time 11.080 m.y.
Uncompensated deficit of 1.38548e-08 g at index (14,131,80) at time 11.086 m.y.
Uncompensated deficit of 3.15543e-09 g at index (36,104,35) at time 11.088 m.y.
Uncompensated deficit of 4.72165e-10 g at index (25,59,43) at time 11.094 m.y.
Uncompensated deficit of 1.32173e-08 g at index (41,123,43) at time 11.096 m.y.
Uncompensated deficit of 5.7092e-09 g at index (16,131,78) at time 11.096 m.y.
Uncompensated deficit of 1.32776e-09 g at index (32,108,34) at time 11.116 m.y.
Uncompensated deficit of 8.0033e-10 g at index (107,40,23) at time 11.120 m.y.
Uncompensated deficit of 1.98799e-08 g at index (42,124,44) at time 11.120 m.y.
Uncompensated deficit of 7.36931e-09 g at index (108,48,55) at time 11.130 m.y.
Uncompensated deficit of 5.35808e-10 g at index (37,102,32) at time 11.132 m.y.
Uncompensated deficit of 6.5624e-09 g at index (21,56,39) at time 11.132 m.y.
Uncompensated deficit of 5.42513e-09 g at index (37,103,35) at time 11.136 m.y.
Uncompensated deficit of 3.41388e-10 g at index (27,57,44) at time 11.148 m.y.
Uncompensated deficit of 1.49166e-09 g at index (23,16,15) at time 11.174 m.y.
Uncompensated deficit of 2.41715e-09 g at index (7,61,102) at time 11.174 m.y.
Uncompensated deficit of 5.759e-09 g at index (105,12,71) at time 11.188 m.y.
Uncompensated deficit of 5.39265e-09 g at index (5,63,103) at time 11.194 m.y.
Uncompensated deficit of 1.69991e-09 g at index (106,38,26) at time 11.196 m.y.
Uncompensated deficit of 1.94018e-09 g at index (20,17,10) at time 11.198 m.y.
Uncompensated deficit of 6.15341e-09 g at index (106,12,72) at time 11.214 m.y.
Uncompensated deficit of 6.10875e-09 g at index (95,84,23) at time 11.222 m.y.
Uncompensated deficit of 6.82222e-09 g at index (82,110,66) at time 11.224 m.y.
Uncompensated deficit of 3.33156e-09 g at index (9,60,101) at time 11.224 m.y.
Uncompensated deficit of 3.81344e-10 g at index (6,125,57) at time 11.232 m.y.
Uncompensated deficit of 5.61911e-09 g at index (83,110,67) at time 11.236 m.y.
Uncompensated deficit of 9.08302e-09 g at index (83,111,66) at time 11.242 m.y.
Uncompensated deficit of 9.45716e-09 g at index (81,110,65) at time 11.246 m.y.
Uncompensated deficit of 1.17813e-08 g at index (2,124,57) at time 11.248 m.y.
Time = 11250000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 1.07132e-08 g at index (14,134,85) at time 11.254 m.y.
Uncompensated deficit of 1.42805e-09 g at index (15,135,86) at time 11.264 m.y.
Uncompensated deficit of 8.58518e-10 g at index (84,111,67) at time 11.266 m.y.
Uncompensated deficit of 3.83057e-09 g at index (12,84,42) at time 11.270 m.y.
Uncompensated deficit of 7.78956e-09 g at index (13,133,86) at time 11.270 m.y.
Uncompensated deficit of 7.5918e-09 g at index (6,122,55) at time 11.276 m.y.
Uncompensated deficit of 2.6428e-09 g at index (133,83,127) at time 11.280 m.y.
Uncompensated deficit of 3.26641e-09 g at index (22,78,90) at time 11.282 m.y.
Uncompensated deficit of 1.85921e-10 g at index (13,83,43) at time 11.286 m.y.
Uncompensated deficit of 3.55353e-09 g at index (22,80,88) at time 11.288 m.y.
Uncompensated deficit of 2.78725e-09 g at index (131,83,128) at time 11.290 m.y.
Uncompensated deficit of 6.22074e-09 g at index (10,58,100) at time 11.292 m.y.
Uncompensated deficit of 4.40736e-09 g at index (3,64,104) at time 11.292 m.y.
Uncompensated deficit of 9.51588e-10 g at index (131,84,127) at time 11.292 m.y.
Uncompensated deficit of 4.43463e-09 g at index (132,82,128) at time 11.292 m.y.
Uncompensated deficit of 1.29007e-09 g at index (11,85,42) at time 11.294 m.y.
Uncompensated deficit of 2.04969e-09 g at index (11,84,40) at time 11.298 m.y.
Uncompensated deficit of 1.27874e-09 g at index (11,60,100) at time 11.298 m.y.
Uncompensated deficit of 3.85528e-09 g at index (133,84,126) at time 11.304 m.y.
Uncompensated deficit of 2.38657e-10 g at index (13,82,41) at time 11.310 m.y.
Uncompensated deficit of 8.23394e-09 g at index (16,67,119) at time 11.318 m.y.
Uncompensated deficit of 9.31689e-09 g at index (24,76,93) at time 11.320 m.y.
Uncompensated deficit of 2.93243e-09 g at index (134,82,127) at time 11.324 m.y.
Uncompensated deficit of 1.46097e-09 g at index (131,85,126) at time 11.326 m.y.
Uncompensated deficit of 4.09736e-09 g at index (85,112,67) at time 11.330 m.y.
Uncompensated deficit of 3.21714e-09 g at index (132,81,129) at time 11.336 m.y.
Uncompensated deficit of 7.71684e-09 g at index (15,68,118) at time 11.338 m.y.
Uncompensated deficit of 3.4022e-09 g at index (24,83,86) at time 11.346 m.y.
Uncompensated deficit of 1.50399e-08 g at index (19,77,89) at time 11.348 m.y.
Uncompensated deficit of 5.58476e-09 g at index (134,81,128) at time 11.348 m.y.
Uncompensated deficit of 3.18284e-09 g at index (129,84,128) at time 11.348 m.y.
Uncompensated deficit of 5.33665e-09 g at index (58,28,138) at time 11.350 m.y.
Uncompensated deficit of 7.55418e-09 g at index (20,78,89) at time 11.352 m.y.
Uncompensated deficit of 1.26483e-09 g at index (14,68,119) at time 11.352 m.y.
Uncompensated deficit of 8.1027e-09 g at index (10,86,42) at time 11.354 m.y.
Uncompensated deficit of 8.64094e-09 g at index (20,77,90) at time 11.354 m.y.
Uncompensated deficit of 1.77087e-09 g at index (12,59,99) at time 11.354 m.y.
Uncompensated deficit of 2.597e-09 g at index (21,76,92) at time 11.356 m.y.
Uncompensated deficit of 4.08996e-09 g at index (133,85,125) at time 11.356 m.y.
Uncompensated deficit of 9.54593e-09 g at index (59,27,138) at time 11.358 m.y.
Uncompensated deficit of 1.16132e-09 g at index (19,78,88) at time 11.362 m.y.
Uncompensated deficit of 9.09089e-09 g at index (20,79,88) at time 11.362 m.y.
Uncompensated deficit of 9.58383e-09 g at index (11,57,99) at time 11.362 m.y.
Uncompensated deficit of 1.67611e-09 g at index (129,83,129) at time 11.362 m.y.
Uncompensated deficit of 1.61467e-08 g at index (20,76,91) at time 11.366 m.y.
Uncompensated deficit of 1.1413e-09 g at index (14,81,41) at time 11.378 m.y.
Uncompensated deficit of 5.0289e-09 g at index (6,66,47) at time 11.384 m.y.
Uncompensated deficit of 9.67657e-09 g at index (132,80,130) at time 11.396 m.y.
Uncompensated deficit of 1.19502e-08 g at index (21,75,93) at time 11.400 m.y.
Uncompensated deficit of 6.87431e-09 g at index (136,82,126) at time 11.410 m.y.
Uncompensated deficit of 8.12545e-09 g at index (75,111,63) at time 11.412 m.y.
Uncompensated deficit of 6.75616e-09 g at index (17,121,120) at time 11.412 m.y.
Uncompensated deficit of 1.11418e-08 g at index (133,79,130) at time 11.416 m.y.
Uncompensated deficit of 1.18266e-08 g at index (61,24,138) at time 11.416 m.y.
Uncompensated deficit of 7.95875e-09 g at index (73,111,64) at time 11.418 m.y.
Uncompensated deficit of 3.76896e-09 g at index (13,58,98) at time 11.422 m.y.
Uncompensated deficit of 6.7962e-09 g at index (11,68,50) at time 11.426 m.y.
Uncompensated deficit of 1.2665e-08 g at index (74,110,64) at time 11.428 m.y.
Uncompensated deficit of 2.07518e-09 g at index (135,79,129) at time 11.430 m.y.
Uncompensated deficit of 4.80826e-09 g at index (76,113,62) at time 11.432 m.y.
Uncompensated deficit of 4.38136e-09 g at index (18,6,120) at time 11.434 m.y.
Uncompensated deficit of 6.27122e-09 g at index (17,7,120) at time 11.434 m.y.
Uncompensated deficit of 3.24942e-09 g at index (133,86,124) at time 11.434 m.y.
Uncompensated deficit of 7.59157e-09 g at index (116,60,23) at time 11.436 m.y.
